id,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,square_feet,guests_included,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,percent_host_response_rate,price_in$,weekly_price_in$,monthly_price_in$,security_deposit_in$,cleaning_fee_in$,extra_people_in$,host_since,host_response_time,host_is_superhost,host_neighbourhood,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,city,state,country_code,is_location_exact,room_type,calendar_updated,has_availability,first_review,last_review,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,email_host_verifications,weibo_host_verifications,sesame_offline_host_verifications,jumio_host_verifications,manual_offline_host_verifications,government_id_host_verifications,work_email_host_verifications,reviews_host_verifications,offline_government_id_host_verifications,manual_online_host_verifications,kba_host_verifications,selfie_host_verifications,sesame_host_verifications,facebook_host_verifications,google_host_verifications,phone_host_verifications,identity_manual_host_verifications,is_bed_type_Real Bed,is_bed_type_Pull-out Sofa,is_bed_type_Futon,is_bed_type_Airbed,is_bed_type_Couch,is_property_type_Guest suite,is_property_type_Condominium,is_property_type_Apartment,is_property_type_House,is_property_type_Boat,is_property_type_Townhouse,is_property_type_Serviced apartment,is_property_type_Loft,is_property_type_Bed and breakfast,is_property_type_Bungalow,is_property_type_Other,is_property_type_Villa,is_property_type_Guesthouse,is_property_type_Boutique hotel,is_property_type_In-law,is_property_type_Barn,is_property_type_Hotel,is_property_type_Cottage
34086554,20191204162830,158837906,5.0,5.0,42.34362,-71.09808,5,2.0,2.0,3.0,,1,14,1125,2,28,1125,1125,16.7,1125.0,25,55,85,360,7,7,97.0,10.0,10.0,10.0,10.0,10.0,9.0,9,9,0,0,1.12,98.0,220.0,,,0.0,150.0,0.0,2017-11-15,within a few hours,0.0,West End,1.0,0.0,Fenway/Kenmore,Fenway,Boston,MA,US,1,Entire home/apt,4 days ago,1,2019-05-31,2019-11-04,1,1,0,strict_14_with_grace_period,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34089487,20191204162830,256722426,6.0,6.0,42.32511,-71.07167,2,1.0,1.0,1.0,,1,1,30,1,1,30,30,1.0,30.0,17,43,71,332,35,35,95.0,10.0,9.0,10.0,10.0,8.0,9.0,6,0,6,0,4.93,100.0,59.0,,,150.0,45.0,0.0,2019-04-18,within an hour,1.0,Roxbury,1.0,0.0,Roxbury,Roxbury,Boston,MA,US,0,Private room,4 weeks ago,1,2019-05-06,2019-11-18,1,1,0,flexible,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34089666,20191204162830,256722426,6.0,6.0,42.32485,-71.07306,2,1.0,1.0,1.0,,1,1,15,1,1,15,15,1.0,15.0,18,43,69,331,37,37,96.0,10.0,10.0,10.0,10.0,9.0,10.0,6,0,6,0,5.19,100.0,59.0,,,150.0,50.0,0.0,2019-04-18,within an hour,1.0,Roxbury,1.0,0.0,Roxbury,Roxbury,Boston,MA,US,0,Private room,4 weeks ago,1,2019-05-05,2019-11-18,1,1,0,flexible,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34089850,20191204162830,256722426,6.0,6.0,42.32514,-71.07358,2,1.0,1.0,1.0,,1,1,30,1,1,30,30,1.0,30.0,17,43,70,315,39,39,96.0,10.0,10.0,10.0,10.0,8.0,9.0,6,0,6,0,5.47,100.0,59.0,,,150.0,50.0,0.0,2019-04-18,within an hour,1.0,Roxbury,1.0,0.0,Roxbury,Roxbury,Boston,MA,US,0,Private room,4 weeks ago,1,2019-05-05,2019-11-14,1,1,0,strict_14_with_grace_period,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34092668,20191204162830,16541124,5.0,5.0,42.34795,-71.16771,8,1.0,3.0,4.0,,6,1,32,1,2,1125,1125,1.3,1125.0,30,60,90,90,24,24,94.0,9.0,10.0,10.0,10.0,9.0,9.0,5,5,0,0,3.33,100.0,250.0,,,300.0,150.0,15.0,2014-06-08,within an hour,0.0,Everett,1.0,1.0,Allston-Brighton,Brighton,Boston,MA,US,1,Entire home/apt,yesterday,1,2019-05-03,2019-11-03,1,1,0,strict_14_with_grace_period,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34096297,20191204162830,15154687,13.0,13.0,42.35989,-71.13243,4,1.0,1.0,4.0,,1,1,1125,1,1,1125,1125,1.0,1125.0,25,55,85,355,46,46,96.0,10.0,9.0,10.0,10.0,10.0,9.0,4,0,4,0,6.36,100.0,99.0,,,0.0,0.0,35.0,2014-05-05,within an hour,0.0,Cambridge,1.0,1.0,Allston-Brighton,Allston,Boston,MA,US,1,Private room,4 days ago,1,2019-05-02,2019-11-17,1,0,0,strict_14_with_grace_period,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34125814,20191204162830,50990023,4.0,4.0,42.39095,-71.0002,12,3.0,4.0,7.0,,6,2,28,2,2,28,28,2.0,28.0,18,48,74,310,30,30,100.0,10.0,10.0,10.0,10.0,10.0,10.0,3,3,0,0,4.37,100.0,300.0,,,500.0,200.0,50.0,2015-12-10,within an hour,1.0,,1.0,1.0,East Boston,East Boston,Boston,MA,US,0,Entire home/apt,2 months ago,1,2019-05-13,2019-12-01,1,1,0,strict_14_with_grace_period,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34133759,20191204162830,107434423,1068.0,1068.0,42.3497,-71.0749,2,1.0,0.0,1.0,,1,92,1125,30,92,1125,1125,89.8,1125.0,15,45,75,350,0,0,,,,,,,,117,117,0,0,,97.0,108.0,,,,150.0,0.0,2016-12-16,within a few hours,0.0,Cambridge,1.0,0.0,Back Bay,Back Bay,Boston,MA,US,1,Entire home/apt,today,1,,,1,1,0,flexible,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34149470,20191204162830,244600805,22.0,22.0,42.34906,-71.07042,1,1.0,1.0,1.0,,1,2,180,1,3,180,180,2.0,180.0,27,57,81,201,10,10,84.0,10.0,10.0,9.0,9.0,9.0,9.0,24,8,16,0,1.6,100.0,100.0,,,350.0,45.0,0.0,2019-02-21,within an hour,0.0,Bay Village,1.0,1.0,Back Bay,Bay Village,Boston,MA,US,1,Private room,today,1,2019-06-01,2019-09-28,1,1,0,strict_14_with_grace_period,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34149473,20191204162830,244600805,22.0,22.0,42.34872,-71.07085,1,1.0,1.0,1.0,,1,2,180,1,3,180,180,2.0,180.0,29,57,81,201,4,4,85.0,9.0,10.0,10.0,8.0,10.0,9.0,24,8,16,0,0.76,100.0,100.0,,,350.0,45.0,0.0,2019-02-21,within an hour,0.0,Bay Village,1.0,1.0,Back Bay,Bay Village,Boston,MA,US,1,Private room,today,1,2019-06-30,2019-09-26,1,1,0,strict_14_with_grace_period,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
